用户名,评论,时间
1*2,超好玩，适合孩子大人，很好的亲子游玩的选择，还会再去,2018-06-29
快*子,带孩子去玩，孩子们玩的很开心，期待下次再去,2018-06-29
帕*刁,很方便，价格也没比其他地方贵。,2018-06-29
散*瑰,很不错，小朋友很喜欢的地方，值得来看看。,2018-06-29
朱*咩,感觉哈利波特的确很吸引人，大项目也的确很棒。但是整体感觉没有新加坡好玩。,2018-06-29
朱*咩,大项目的确好玩，但是个人觉得没有新加坡环球好玩,2018-06-29
M*4,真是节约了很多等待的时间，,2018-06-29
2*3,环球影城的快速票非常值得买，有的项目快速票很快就能排到，没有快速票基本上要排一个小时，人非常多，项目还是不错，值得在里面逗留一天,2017-10-28
豪*7,带孩子去游玩相当值得！！！！！,2018-06-28
_*0,出票速度很快，但是给的票是几页一张票。扫码入内还比较方便,2018-06-28
1*0,好，很好玩，下次还要过来玩。值得推荐,2018-06-28
1*8,去的那天下雨，但是好在人少，不用排队！玩的很开心,2018-06-27
1*8,好莱坞美梦和侏罗纪公园最喜欢，挺好玩的。,2018-06-27
E*4,大阪环球影城！早八点玩到晚八点！哈利波特实在太好玩了！连刷两遍！小黄人拍照好漂亮！没必要买快速票！果然不虚此行，前前后后玩了15个项目，累的脚疼的都站不住了，太嗨了！自己的胆量又提升了一点点,2017-10-26
h*5,这个地方有很多游乐项目，可以观看最新电影。,2018-06-26
X*8,环境很好，本土文化，热情服务。,2018-06-26
小*二,环球影城真的很赞很赞！有好多好玩的东西,2018-06-26
D*8,比较方便，刷码进去就可以了。记得两个人的话要把PDF翻到第二页，不然就像我们一样蹉跎了好久。,2018-06-25
l*0,今天一下点要去的一个地方，期待很久了,2018-06-25
请*君,一天所有想玩的项目全部玩到…足够了ᕕ(ᐛ)ᕗ,2018-05-07
3*0,比迪士尼好玩多啦，推荐大家都去体验，尤其好莱坞美梦逆转世界，还有蜘蛛侠小黄人哈利波特，看着影片跟着人物进入电影世界，身临其境，超级刺激哦,2017-10-24
_*8,非常方便，去了扫码入园即可，不用排队买票了,2018-06-24
_*8,遇上地震，快速票没啥用，因为没啥游客，随便玩。,2018-06-24
_*8,遇上地震，十二点左右才开门，人很少。,2018-06-24
1*5,购买方便，进场快速，关键是里面好玩,2018-06-24
j*j,很不错，快捷方便省心 以后还会买的,2018-06-24
E*9,门票要提前买，去的那天发现门口买票的队伍非常长，省了不少时间。,2018-06-24
m*5,可以，不论如何季节，都要涂防晒霜，切记。,2018-06-23
_*5,小黄人和哈利波特虽然有入场时间限制，但没赶上时间也可以照常走快速通道，还是很人性化的。,2018-06-23
M*8,下雨，有项目关闭，只用了两处，不太划算！,2018-06-23
无*头,好玩的太多，半天真的来不及，赞,2018-06-23
y*n,非常值得去。也去过香港的。但是日本的还是得把刚nice,2018-06-23
M*4,断腿的一天，快速通行证能节省很多时间，哈利波特玩了两次，蜘蛛侠玩了两次,2018-06-22
方*茗,非常好玩，人也超多的，不能坐过山车的是种遗憾,2018-06-22
蚂*哥,梦不梦幻就用图来打动你吧，体验各种电影场景的好去处,2018-05-04
E**,方便快捷-------------,2018-05-04
M*3,据说这里由新加坡的三个大，来了后才知道一点也不假，可东西不是很多，设施也不齐全，你到里面走一圈就会发现。而且，这里大多是游艺项目，全是日文的，看的一点感觉都没有。人非常多，买个快速劵比较好。,2018-03-16
沉*2,人挺多的，惊险刺激类项目大多要排队两三个小时，喜欢玩的建议买快速票，要不然要不过来，哈利波特餐厅很不错，玩了蜘蛛侠，感觉是女生接受范围内的小刺激项目,2018-03-16
正*r,很快很好很赞为什么要15字呢啊,2018-06-21
正*r,赞的赞的赞的很快为什么12字额,2018-06-21
M*7,提前购买好打印出来带着能省去当天的时间和麻烦，价格也合适。,2018-06-21
s*u,很棒的一次旅行！甩上海迪士尼几条街！,2018-06-21
l*e,对于我来说，游戏都太刺激了，所以有快速票意义也不大，不过如果想玩全场的话还是很有必要的。,2018-06-21
l*e,很方便，提前购买直接入场。主要自己是很喜欢收藏纪念小东西，所以选择的时候纸质版的门票。,2018-06-21
b*4,买了门票又买了快速券很方便，不用排队,2018-05-03
紫*鱼,非常好玩，这辈子一天里没做过那么多过山车,2018-06-20
O*C,主角是各种机动遊戏，都大同小异，去的人大都为了买点记念品吧！,2018-06-20
悠*心,节约了不少时间，玩的很尽兴，哈哈,2018-06-20
e*1,好 很好 非常好 方便,2018-05-02
w*o,很好用，方便快捷，推荐，门口扫描二维码使用。,2018-06-19
1*5,非常棒的旅行，环球影城非常的好玩，推荐！,2018-06-19
i*8,非常方便非常好！建議可先列印出來！,2018-06-19
i*8,非常方便非常好！建議先列印出來！,2018-06-19
1*8,这里是电影主题的游乐场，非常好玩呢。,2018-06-19
_*2,好玩！超级好玩！手镯都玩掉了！,2018-06-19
e*f,非常方便可惜儿子发烧了只用了哈利波特其他都浪费了，下次去还会再订,2018-06-19
米*扬,非常方便，总体满意，当然必须好评,2018-06-19
1*4,门票的价格跟当地售价差不多，邮寄的速度也很快！,2018-06-19
M*1,很好玩，6月开始去的记得千万不要错过夜间巡游,2018-06-19
h*1,很好的一次体验，扫码入园很方便，下次还会来的,2018-06-19
_*0,真的很好玩 勾起了好多小时候看动画片的回忆,2018-06-19
M*6,很方便，直接在手机上存下二维码进门就可以使用。,2018-06-18
M*6,很好很方便，进门直接扫二维码就可以进园。,2018-06-18
1*6,每个城市都有那么几个著名景点，到了要去打个卡的！,2018-06-18
1*8,大阪的必玩景点，可以提前在网上订票，会比现场购买便宜一些。建议早上提前过来，里面很大，项目很丰富，需要玩整整一天，很适合带小朋友过来。,2017-10-17
E*l,方便不错挺好的性价比高适合订还是不错,2018-06-17
老*哈,环球影城位于大阪，非常不错的游乐场所，虽然在新加坡玩过，日本的环球影城也非常的出名和好玩。,2018-06-17
l*1,环球影城围绕电影制作有好几个主题活动，我觉得非常好玩儿,2018-06-17
_*0,很方便，出票快入园非常简单方便,2018-06-16
M*8,非常值得一去！日本的微笑服务太棒了,2018-06-15
M*Y,作为世界不多的游乐场  日本的这家给我感觉超棒,2018-06-15
E*3,这里实在太出名了，排队的人多的要命，好多地方参观的牌子一大堆的人。哈利波特城堡那队伍的尾端都找不到，说最起码要排三个钟头，有时间的话就去吧。,2018-03-09
1*0,怎么说呢？不去后悔，去了更后悔,2018-06-24
M*5,出票巨快，建议提前定，当天定价格不美好,2018-06-14
爱*阳,人挺多的，蜘蛛侠好惊险好刺激。,2018-06-14
P*g,我们根据天气决定买一日票还是1.5日，到了大阪正好小雨，在机场当下买好就能在那取票，方便快捷,2018-06-14
j*j,实体票  非常好 有效期内都能玩 很好用,2018-06-14
w*e,超级好玩，一天玩不够。想刷所有的项目肯定是要买VIP的。,2018-06-14
r*3,棒棒棒，去的时候人不算多，热门项目排队最长半小时,2018-06-14
望*贝,很好玩，里面人很多，建议买快速通行证,2018-06-13
M*7,使用非常方便，不用去排队换票。,2018-06-13
_*5,出票特别快，也非常的靠谱，下次还会预定的,2018-06-13
1*9,取票方便，直接门口刷票通过！！,2018-06-13
1*9,取票很方便，到usj直接刷票通过！,2018-06-13
_*7,门票不贵 但是快速通行证爆贵 但是还是值得买的 ,2018-06-13
M*3,以小黄人为主题的环球影城，有大白鲨，龙珠，蜘蛛侠等。冲着哈利波特的禁忌之旅也值得一去，各种4D电影，项目刺激度刚好，适合小朋友去。,2017-10-12
1*6,提前买好很方便很方便很方便很方便,2018-06-12
1*6,很好很方便很好很方便很好很方便,2018-06-12
尹*华,不错，不错，有专门小孩子玩的区域，我们去的时候还好，没买快速票，就买了1.5日门票，都玩遍了,2018-06-12
h*5,二维码很方便，不用打印出来，入园直接扫就行,2018-06-12
任*怡,请问我一个人带5岁小朋友112cm有必要买快速票吗，她能玩的是不是很受限制？,2018-06-12
艾*斯,不虚此行，飞天翼龙超级刺激，哈利波特，蜘蛛侠爽翻了，还想再去,2018-06-12
1*0,游玩的日期为周五，正好有许多日本学生秋游，加上红叶季的游客众多，当天园区里人非常多。不过确实体会到了之前网上评论的，在日本玩人多但不乱的感觉，总体还是很开心。幸亏之前买了快速券，不然一天玩不了几个项目。总的感觉大项目都是各种过山车，要么4D，要么室外过山车，哈哈。当然，小游戏也是有的。吃的很多，园区卫生程度也很好。,2017-11-28
M*4,这个环球影城非常值得一来，它是关西地区一个著名的景点，有些项目需要排队等待，值得推荐的是哈里波特区一定要去，人非常的多。,2017-10-10
M*3,"这里和国内的一些大型的游乐场相比较,感觉更适合成年人玩,很刺激有些项目,人非常的多,需要排队等待,哈里波特的场景非常的逼真。",2017-10-10
F*6,现代化的影城，里面可以加费用免排队，很个性化服务。,2018-06-10
皮*然,和东京上海迪士尼相比还是差很多,2018-06-19
M*6,基本都是在排队中度过，只玩了2个项目，哈利波特2.5小时，小黄人排队3小时,2018-06-09
1*0,方便  机场下来就能取票 中文服务 ,2018-06-09
1*0,去的当天排队人不多 感觉白买了。,2018-06-09
在*方,很好玩，不错，下次还想去，日本很棒,2018-06-09
M*2,棒！有了快速票一天几乎把所有项目都玩下来了，还不是很累,2018-06-08
指*珍,大阪必游景点，和新加坡大不一样,2018-06-08
_*1,预订后直接入园，比较方便，减少排队。,2018-06-07
_*8,门票没问题 正常使用 usj没想象中好玩,2018-06-07
f*b,非常快速，很好玩的项目，刺激程度适中,2018-06-07
李*歐,省去排隊買票的時間。雖然沒有比較便宜。但省了不少時間,2018-06-07
M*2,因为下雨 快速票白买了，不过项目也因为下雨玩了7个,2018-06-07
M*可,可能因为去的是淡季，快通票根本没什么作用……,2018-06-16
墨*羊,快速出票，值得信赖。公园很棒！,2018-06-06
旅*人,去大阪一定要去的地方，加税每人7900日元，,2018-06-06
g*u,因为下雨天人不是特别多，所以很快排到我们了，比平常用时少。,2018-06-06
g*u,因为下雨天人不是很多，所以很快就排到我们了,2018-06-06
g*u,因为下了雨，所以去的人应该不是特别多，所以很快就排到我们了,2018-06-06
g*u,因为下雨天，大家玩的还是比较尽兴的，人不是很多，很快就能排到了。,2018-06-06
g*u,因为下雨人不是很多，所以大家玩的还是很尽兴的，下次还会预定，谢谢,2018-06-06
M*5,不急很好很好很好下次还会去的拉,2018-06-05
M*2,非常好，进去很方便，玩几遍都OK,2018-06-05
G*g,带着娃儿来看这边的环球影城，作为哈利波特粉，真是高兴坏了,2018-06-05
_*3,不错 中午去的  好多项目还没有玩 下次继续,2018-06-05
1*5,不错不错，很好很好，方便得很。,2018-06-05
1*5,方便不错不错，扫码进场，很好的。,2018-06-05
e*1,天气好，心情好，一大早来的就看到排队的人不少，十一去的感觉中国人也很多啊。景区里买了个大鸡腿，无敌美味哦。跟拳头一样大哈哈哈。,2017-10-04
g*u,因为下雨所以人不是很多，大家玩得挺尽兴的。,2018-06-04
_*9,太好玩了，吊挂的过山车、倒开的过山车、水世界表演要早去，结束的早，哈利波特还可以，景物还原电影，人多，之前新加坡玩过变形金刚了，所哟禁忌之旅就感觉没有那么新奇，还可以，搞笑的是当天禁忌之旅中间中出现bug，可以免排队再玩一次，结果每一次多有bug.......连续玩了3次就放弃了,2017-11-21
C*n,值得去玩的好景點，當然還是會再去！,2018-06-03
y*i,玩了很多项目，唯一的不足就是有些剧场啊活动啊都是全日文，下面没有英文，有点遗憾！,2018-06-03
1*7,和东京迪斯尼齐名的主题公园，但跟迪士尼不同的是，usj没有免费的fastpass可以领取，所以旺季时段热门的项目排队很厉害，一般排两个小时以上是很正常的。建议不要选择周末或者日本公众节假日去玩。环球影城位于樱岛，可以乘坐jr樱岛线在university下车步行五分钟就到了。,2017-11-20
M*0,挺方便的，提前订好久，不过快速票感觉订的有点浪费，可能周二人比较少吧,2018-06-02
_*1,很著名的乐园，很多人，项目很好玩的,2018-06-02
w*g,电子票，二维码一扫即可入场，快捷,2018-06-02
w*g,省事，快捷，扫码进场，无需打印,2018-06-02
溟*潴,值得一去，胆小加恐高加晕好多项目都木有玩,2018-06-02
M*8,直接手机出示刷二维码就可以进场，非常方便。,2018-06-01
2*5,不用打印纸质门票，直接扫码入园，很方便,2018-06-01
_*4,很好，很方便，刷二维码直接进去了,2018-06-01
青*祤,方便快捷，适合我们这些懒人。哈哈哈,2018-04-13
2*9,价格虽贵但是物有所值，买快四节约了不少时间,2018-05-31
2*9,出票快，使用便利，usj的门票虽然有点贵，但还是物有所值的,2018-05-31
小*二,环球影城中有各种的亲子娱乐设施，很有特色,2018-05-31
1*6,好，起个大早去，不用加钱买哈利波特的票。,2018-05-30
M*1,非常方便啊 扫二维码就可以 7项快速基本上1天之内都可以玩到,2018-05-30
M*1,非常方便 扫一下截图的二维码就可以了,2018-05-30
_*7,很多特色的主题在里面，很有趣！,2018-05-29
M*8,人虽然多，但真的超级有秩序。火鸡腿比上海迪士尼还便宜30块人民币,2018-05-29
M*4,除了侏罗纪园的过山车没坐，其他全玩到了，主打应该是4D效果，哈里波特园区景色不错，但是游戏过程中说的都是日语包括哈里波特，听不太懂侏罗纪园水上项目其实是激流勇进，但是营造的气氛很好美国街晚上有烟火表演很精艳（大圣诞树对面）还有小黄人的街演，很棒小黄人园区有小黄人汉堡、还有蛋包饭，有一款小黄人蛋糕很好吃但是小黄人园区里的4D项目还是适合小朋友，大人会觉得有些无聊其实4D的国内的方特乐园也不错，而且便宜好多，这个网上订要450，而方特150就够 了，只是各区主题不像这里这样鲜名，街演相对少一些，但4D效果有一拼，刺激项目也多一些，这里还是适合小朋友的多一些。,2017-11-15
e*3,环球影城值得去，游乐设施很好玩。,2018-05-28
d*8,带小朋友肯定要去啦。一天半的门票很合适，错峰玩项目超级爽，孩子玩的很开心。,2018-05-28
3*6,必须要购买，起码省时大半天，非常值得,2018-05-28
兰*瓣,各个品牌特色明显。园区里有点找不到路,2018-05-28
A*r,很好玩，很多可爱的人物，很有趣,2018-05-27
_*7,挺好玩的哈 小黄人粉很开心 快速票很值得买 哈利波特必去,2018-05-27
a*o,很好…………………………………,2018-05-27
a*o,很好…………………………………,2018-05-27
1*0,千万不要被门口的店铺吸引，先进去。排队也是，看着人不多，实际各种绕，因为当天买票，没用快速票，真的排了两三个小时。去的哈利波特禁忌之旅。挺好看的,2017-11-13
1*6,提前买票很有必要，住在附近酒店，一早就有很多人，所以提前买好票很有必要，哈利波特值得一游，设施不错,2018-05-26
2*0,全球四大环球影城之一，哈利波特是特色。,2018-05-26
H*g,岛国的USJ还是可以的，值得一去！,2018-05-25
f*1,很方便，直接打印出来就可以扫码入场了,2018-04-05
1*8,门票而言，方便是方便，不过进门的时候有一张没刷起，工作人员过来很快解决。,2018-05-23
M*7,房间是在大阪住过最大的酒店了，很好，超方便,2018-05-23
S*8,扫码即可入园，超方便，去玩环球一定要买快速，去看看的就可以不用了，快速真的快且方便，赞！,2018-05-23
E*2,好玩，紧张，刺激。值得一去的游乐场。,2018-05-22
M*2,很顺利  景区项目很刺激 非常好,2018-05-22
七*月,大阪环球影城当然好玩，而大阪又是美食之都,2018-05-22
毒*子,出票速度很快 安全放心 直接扫码入园,2018-05-22
毒*子,五星好评 无需打印 直接手机打开扫码即可 方便环保～,2018-05-22
r*g,快速票打印下来，很方便，很方便,2018-05-22
r*g,我是邮寄门票的，小黄人太可爱了～可以留个纪念,2018-05-22
N*a,很有必要购买quick pass，排队还是很久的，小黄人2小时左右,2018-05-22
N*a,电子票很方便，哈利波特小黄人超有特色，工作人员热情洋溢,2018-05-22
N*a,好玩，孩子超喜欢，特别哈利波特和小黄人，工作人员热情洋溢,2018-05-22
周*安,这个影城一般，和中国比差的太多,2018-05-31
1*6,挺好的，适合带孩子去玩，但就是周末人太多了。,2018-05-21
1*7,一定要去玩，早点去，队都特别长，现在晚上有巡演,2018-05-20
1*1,运气不错，该玩的都玩了，亲子必玩项目,2018-05-20
_*4,出票很快，很棒，绝对值得一去！,2018-05-18
_*7,可以的 一天玩的很开心哈利波特最棒,2018-05-18
M*2,感觉大部分是4d效果，连续玩会很晕～场内的景物将电影还原得很好！晚上呢灯光展挺不错！,2018-05-18
D*R,非常方便，走快速通道给工作人员扫一下二维码即可,2018-05-18
M*2,超级好玩的游乐园，当然对于那些追求刺激的可能就觉得一般，但是各种表演很赞，4D游乐设施也好玩,2018-05-18
s*2,买了快速券，价格要500块钱，一个人还是有点贵的。,2018-05-17
M*8,人超级多，能玩的项目也很多，但是排队也很久，至少一个小时,2018-05-17
哈*四,可惜的是飞龙在维护，没有坐到，下次再来吧人是真的多，但都很有秩序，排队的速度也很快,2018-05-17
M*1,门票扫码很方便，园内还是不错的,2018-05-16
V*t,此券不包含入场券，只有上面说的七项是快速通道，别的都不行，这样算下来要贵很多，不值,2018-05-25
t*4,性价比高的 还是推荐的 事先买好 很方便,2018-05-15
一*1,还会再来，我是头天晚上预订的，转天直接刷二维码就好了，联通也很方便，出地铁即到不错,2018-05-15
侦*探,二维码进入，不用门票，付款即订成功,2018-05-14
侦*探,正品，速度很快，二维码进入，不排队,2018-05-14
刘*儿,出票很快的 没有提前很多天预订的价格还算可以了,2018-05-13
1*6,秒出票，入园扫二维码就可以了。非常方便，玩得很开心，哈利波特最赞！,2018-05-13
珑*声,喜欢电影的朋友一定要去这里玩啊,2018-05-12
M*3,人不是很多，项目都很精彩，有机会再去,2018-05-12
艾*婉,订票很方便，电子票就可扫，园内很多项目都值得一玩。,2018-05-11
_*5,带队等候时间短，基本都玩到了。,2018-05-11
k*i,二维码pdf太小了～朋友的进门扫了好几次，才成功,2018-05-11
R*i,有的项目不错，工作人员都很热情，建议1-2天游玩,2018-05-11
1*5,非常好玩的一个游乐场，有的玩还有的吃、小黄人泼水游行，小孩玩的开心大人同样玩的开心,2018-05-11
1*5,到大阪来，当然要去这里咯，必须的。,2018-05-10
M*4,超级赞非常非常满意的旅行。,2018-05-10
M*4,地方挺好玩的，幸亏买了快速通道，不过有些信息给翻译错了，耽误不少时间,2018-05-09
m*8,显示排队时间长短实际还可以，不是公休周末不用买快速票票因为蛮贵的,2018-05-09
E*5,非常适合年轻人过来，特别是喜欢好莱坞电影的人过来，里面有非常好玩的过山车，而且只要是淡季去的话，不需要排很长的队，而且非常的刺激,2017-09-07
M*7,据说是全球每年到访游客最多的游乐园，好玩的项目很多，就是排队时间太长，最有特色的就是哈利波特城堡乐园，整个城堡的的氛围让人如同进入电影的真实场景，非常震撼，强烈推荐,2017-09-07
y*9,很不错的地方，去玩一玩很好，就是人多,2018-05-08
M*1,扫码就能进很方便，还定了快速票 但当天下雨了 人比较少 我是没用上,2018-05-08
1*9,快速票那叫一个贵呀，去的当天下雨了，很多项目没有完成，快速票有点浪费,2018-05-08
M*7,蜘蛛侠，哈利波特，好莱坞梦幻之旅太好玩了，下来后意犹未尽。无奈排队人太多，不然，玩n次。没有买快速通票，看到快速通道人一个个进去，内心无比后悔～,2017-09-06
E*1,感觉全球的环球影城都差不多，买个快速票基本半天能搞定，大阪唯一印象深刻的是门口的美食城，二楼，整层的章鱼小丸子，各种口味，超级赞,2017-09-06
M*5,值得一去，适合带孩子去游玩，孩子小不适合，六岁以上吧。,2018-05-07
y*f,排队人多，花钱就可以快速通道玩，不爽,2018-05-07
冬*远,要来这里玩就做好花上一天时间的准备，但是确实不错。,2018-05-07
_*1,环球影城位于日本的大阪市，有点像日本版本的好莱坞或者迪士尼哈哈，环球影城主打的还是动漫产业，里面有很多动画人物，也很大。,2017-09-05
时*好,暑假去人超多 不过比国内游乐场好玩多了，还是很值得,2018-05-06
x*g,排队时间虽然挺长的，但是项目是真的挺好玩的,2018-05-06
R*L,很棒方便 直接用手机出示即可 很好用,2018-05-06
a*9,非常棒！很方便！客服也很细心，只是突如其来的粤语让我以为打错了，但是客服小哥非常细心帮我讲解了很多，最后票一定要多打印几份！不然二维码很容易磨掉。,2017-10-22
M*3,哈利波特和小黄人是热点。哈利波特城堡更赞一些，小黄人呼声很高但也就是4D电影的套路，并不觉得很特别。过山车比较推荐飞天翼龙和好莱坞美梦。其他项目和其他城市的环球影城区别不大。暑假非周末热门项目排队均超过2小时，建议购买快速票。另外尽量早到，因为9点到达公园门口已经排了长队。,2017-10-22
2*7,交通很方便 我们是从大阪日本桥过去的 买了快通票 所以没怎么排队 飞天翼龙很刺激♥环球影城虽然不大 可是布局很合理 刚进去时会摸不着方向 转一圈就知道了 吃的东西不算贵 工作人员很热情☜☞,2017-09-03
m*5,太好玩了，好想再去一次，值回票价。,2018-05-04
3*1,用了快去券后基本所有的都玩了，很好。,2018-05-04
3*1,值得信赖，非常好，能使用。。。,2018-05-04
_*2,出票很快！直接用二维码进园的，很方便！去的时候人不多，项目基本刷完！还有好多二刷的！玩的很开心！,2018-05-04
小*8,值得去看一下啊，这里是日本大阪的一个影城。,2018-05-03
1*6,方便，快捷，扫码就进了，不用排队,2018-05-02
1*3,赶上日本黄金周，热门的都是120-140分钟,2018-05-02
加*儿,娱乐项目很多。个人觉得适合12岁以上的去玩。,2018-05-02
t*7,总体评价还是很不错的，蛮值得去的,2018-05-01
1*4,有机会来到日本环球影视城，真的很漂亮，就好像梦幻般的地方,2018-04-30
风*鹰,值得，一定要提前攻略，很有意思,2018-04-29
矮*哥,很方便 刷二维码就能入园   ,2018-04-29
1*5,一定得买fast pass！我们买的是pass7，好像是比入门票还要贵但非常值！除了Harry Potter有指定时间，其他的都无须排队就可以进去玩！可能是周6又近万圣节几乎所有的rides都要排1小时到270分钟。。。蜘蛛侠，飞天翼龙，小黄人，侏罗纪公园都好玩。日本人很陶醉于CosPlay，穿着性感小护士服装，特警，女僵尸，wolverine等等乘地铁来，有如来圣地朝拜似的。非常有意思 ：）,2017-10-16
_*8,跟北京欢乐谷差不多，就是主题多一点，除了过山车就是4D动感体验,2018-05-07
A*L,快速票必备 就是不能自己安排热门园区时间,2018-04-27
y*U,挺好玩的，还会去第二次，值得推荐,2018-04-26
y*蕾,不错、出票很快很方便也很优惠,2018-03-08
x*7,入园前一天发的邮箱很方便，一刷就进。,2018-03-08
M*9,有了快速票，才能在一天玩完所有想玩的项目。真心推荐一日游的人，没有花钱的不是,2018-04-25
米*汪,使用方便，快捷，大热天气热，不要排长队,2018-04-25
1*1,很好玩，很好玩，很好玩，很好玩,2018-04-24
D*9,很方便，只要扫一下邮件里的二维码就能进,2018-04-23
a*u,门票很值得买，省去排队买票的时间,2018-04-23
五*刀,排队的设置人性化，不感觉到累。,2018-04-22
馨*窝,比两张单人票少几块钱，要买票的话一定选电子票，实体票排队取票的队伍让我吓到了。,2018-04-22
馨*窝,超有需要买的，一天下来所有项目都搞定。在这个超爱排队的国度里，好想问，她们的学生都不上学的吗？,2018-04-22
1*7,顺利进园，很方便，秒出票，没有买快速，一早等开园，人不算多，热门的都玩了。,2018-04-22
g*7,非常不错，值得推荐。带娃必去。,2018-04-21
s*u,园子很大，设施很酷，就是人多，一定要提前做好攻略,2018-04-21
成*蕉,欢乐的海洋，经典的卡通人物，一定要玩一天,2018-04-21
丶*儿,扫码入园快速方便而且比淘宝的便宜,2018-04-21
_*7,网上买好票进园很方便，不错赞一个,2018-04-20
2*8,玩的很嗨，凑满十五个字吧…………,2018-04-20
2*8,好玩，值得去玩，十五个字满了吗,2018-04-20
1*6,非常值得一玩 每个阶段都有不同的主题,2018-04-20
2*6,冲着哈利波特去的，戴3D眼镜玩的室内过山车，魁地奇比赛好逼真，真心好玩，就是排队时间很久，排了110分钟，玩5分钟，黄油啤酒就是沙冰，超级好喝，买了跟波特的魔法棒，虽然中国制而且不便宜，就是忍不住。因为宝去的时候身高限制，就完了波特和芝麻街，芝麻街也不错。很开心,2017-10-07
M*1,据说日本的环球影视城，应该是我去过全世界那么多比较有意思的一个了,2018-04-19
E*8,票完全没有问题，不过要按照票规定时间走项目，玩完了还能去蜘蛛侠和哈利波特,2018-04-19
E*8,很好用 门口闸机刷二维码进出非常方便,2018-04-19
爱*果,手机刷二维码就能进园 很方便 电子票 收到也快 ,2018-04-19
M*4,着实不错的地方，还是值得去玩的地方，真心不错,2018-04-19
1*4,五月份去 好期待啊 买了快速票,2018-04-19
M*6,日本环球影城位于日本大阪市此花区，1998年10月28日由美国动作演员、加州州长阿诺德·施瓦辛格主持动工仪式，2001年3月31日开幕。影城中有各种亲子娱乐设施、还有日本特色的卡通人物，更是一座电影主题游乐场，分为纽约区、好莱坞区、旧金山区、哈利·波特的魔法世界、水世界、亲善村、环球奇境、侏罗纪公园8个区域[1]。,2017-10-06
走*士,出票快，直接扫码入园，环球影城很棒,2018-04-18
1*2,打印后直接入园，非常方便。可惜当天没遇到花车巡游和城堡灯光秀,2018-04-18
_*9,哈利波特很值得体验去超赞 太棒啦,2018-04-18
M*4,很不错哦，就是闭园时间太早。。。,2018-04-17
G*n,很好用！下次如果去还会再订购！,2018-04-15
b*n,人太多，排队受不了，需买快速通行券,2018-04-15
2*4,总体还可以，一天半的票合适，可惜的就是一天只能进去一次，小孩儿睡觉出来就进不去了。,2018-04-15
2*6,好玩，好看，热情，适合年轻人玩的地方,2017-11-18
_*7,很好玩的游乐场，最重要的一点是提前去排队，第一批进场，直奔热门,2017-09-25
张*团,好玩，刺激，人多，门票贵，周边也贵,2018-04-04
小*罗,还不错，但感觉没有东京迪斯尼玩的舒服，迪斯尼的整体服务还是稍强些的,2018-04-04
紫*辉,很不错的地方，下次一定还会再来！,2018-04-04
m*梦,飞天翼龙过去了直接玩，基本都不用排队，快速票就是好,2018-04-03
j*i,出票快，自己打印出来扫码进园。,2018-04-02
2*5,真的很棒！好莱坞值得正反各一趟,2018-04-02
M*2,日本游乐园的游玩顺序最好是，迪士尼~海洋迪士尼~环球影城……哈利波特的确做的很好，最好买fp，,2018-04-02
